ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
3430,4,7kl1,CCc1nnc(NC(=O)Cc2cccc3ccccc23)s1,21,0.762,-6.6,4.917,4.744667713165283
3437,4,7kl1,Cn1ncc2c(Nc3cccc4ccccc34)ncnc21,21,0.81,-5.7,4.939,4.436412085533142
3453,2,7kl1,CN(Cc1cccc2ccccc12)C[C@@H]1CCC(=O)N(C)C1,22,0.818,-6.8,4.988,4.566562885522843
3460,5,6x5g,Cc1cc(C)n(C(=O)COc2cccc3ccccc23)n1,21,0.81,-5.8,4.988,4.570030355930329
3465,4,7kl4,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1OC,21,0.762,-5.8,4.925,4.6227935433387755
3479,3,6vzk,Clc1cccc(Nc2nc3ccccc3n3nnnc23)c1,21,0.81,-6.2,4.944,4.858682790637016
3485,4,7kl1,C[C@@H](CN/C=C1/C(=O)Nc2ccccc21)c1ccccc1,21,0.762,-7.2,4.958,4.541203971385956
3527,4,7kl4,O=C1Nc2ccccc2/C1=C\C1=Cc2ccccc2OC1,21,0.905,-6.6,5.069,4.908379996061325
3529,5,7kl1,Cc1cc(C)cc(NC(=O)Nc2ccccc2C(N)=O)c1,21,0.7140000000000001,-6.2,4.887,4.7802119160890575
3534,4,7kl4,Cc1cccc(Nc2nc(-c3ccccc3)cc(=O)[nH]2)c1,21,0.762,-6.5,5.006,5.090859229624272
3551,3,7kl4,CCC(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccco1,22,0.773,-6.3,5.118,5.523028879642487
3557,1,6x5g,c1ccc2c(COn3nnc4ccccc43)cccc2c1,21,1.0,-6.6,5.047,4.425574550151825
3577,4,6vzk,O=c1nc(-c2cc3ccccc3[nH]2)[nH]c2ccccc12,20,0.55,-3.1,4.8919999999999995,4.72584284377098
3578,3,7kl1,COc1cc(C)c([C@H]2NC(=O)c3ccccc3N2)cc1C,21,0.7140000000000001,-5.3,4.886,4.5438269302845
3589,4,6x5g,C[C@@H]1C[C@@](O)(Cc2cccc3ccccc23)[C@H](C)CN1C,21,0.905,-5.6,4.937,4.830508590757847
3596,4,6x5g,c1ccc2c(CN3CCOC[C@@H]3c3ccn[nH]3)cccc2c1,22,0.955,-6.5,5.12,4.698599035739899
3597,3,7kl1,CCn1nnc2c(Nc3cccc4ccccc34)ncnc21,22,0.955,-7.0,4.91,4.658543858528137
3634,3,7kl4,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1C,20,0.8,-6.1,4.94,4.905548522770405
3670,2,6x5g,C[C@H]1CN(C)[C@H](C)C[C@@]1(O)Cc1cccc2ccccc12,21,0.905,-6.1,4.941,4.681436166524887
3673,5,7kl4,C[C@H]1CN(C(=O)Cc2cccc3ccccc23)C[C@@H](C)O1,21,0.762,-6.2,5.195,5.31228223413229
3675,5,7kl1,Cc1nn(C)c(C)c1C(=O)NCc1cccc2ccccc12,22,0.727,-6.8,5.069,4.731952691316605
3687,1,6x5g,c1ccc2c(CN3CCOC[C@H]3c3ccn[nH]3)cccc2c1,22,0.955,-6.7,5.121,4.72791386461258
3692,2,6x5g,NC(=O)c1cc(N)ccc1OCc1cccc2ccccc12,22,1.0,-7.0,4.9830000000000005,4.444471617221833
3699,4,7kl4,O=c1nc(-c2c[nH]c3ccccc23)[nH]c2ccccc12,20,0.75,-4.4,4.9,4.993010917305947
3705,5,7kl1,O=c1[nH]c2[nH]c(-c3ccccc3)cc(=O)c2c2ccccc12,22,0.727,-4.7,4.994,4.81820502603054
3709,4,7kl4,O=C1Nc2ccccc2/C1=C/c1ccccc1[N+](=O)[O-],20,0.85,-4.6,4.9,4.614657187461853
3729,2,6x5g,COc1ccc(/C=C2/C(=O)Nc3ccccc32)cc1[N+](=O)[O-],22,0.955,-6.4,4.9110000000000005,4.504224108219147
3732,5,7kl4,O=C1NC(=O)/C(=C\c2c3ccccc3cc3ccccc23)N1,22,0.636,-4.4,5.117,4.987457246899605
3736,3,7kl4,O=C1Nc2ccccc2/C1=C\c1c[nH]c2ncccc12,20,0.8,-5.6,4.947,5.072859931111336
3738,3,7kl4,O=C1NN=C(c2ccccc2)/C1=C/Nc1cccc(Cl)c1,21,0.762,-6.4,4.933,5.0275006534457205
3745,3,7kl4,O=C1Nc2ccccc2/C1=C/c1c[nH]c2ncccc12,20,0.8,-5.9,5.058,5.035349171414971
3757,3,6vzk,O=C1C(c2cc(=O)c3ccccc3[nH]2)=C(O)c2ccccc21,22,0.818,-5.5,5.0569999999999995,4.828621793508529
