ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
9818,4,AFv1,FC(F)(F)c1cnc(SCc2cccc3ccccc23)c(Cl)c1,23,0.7829999999999999,-7.9,5.784,5.20029558801651
9819,2,AFv1,Cn1c(CCc2ccccc2)nnc1SCc1cccc2ccccc12,26,0.9229999999999999,-8.1,5.941,5.715032920598984
9820,4,AFv1,Cc1cc(Nc2cccc(Cl)c2)n2nc(C)c(-c3ccc(F)cc3)c2n1,26,0.885,-8.7,6.086,6.13782383581996
9821,2,AFv1,Cc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)s1,27,0.963,-10.1,6.6370000000000005,6.9968380684852605
9822,5,AFv1,C[C@H](c1nc2ccccc2s1)N(C)C(=O)Cc1cccc2ccccc12,26,0.885,-8.5,6.155,5.75961887717247
9823,2,3soa,Cc1[nH]c2ccccc2c1C(c1ccc(O)cc1)c1c(C)[nH]c2ccccc12,28,0.857,-8.8,6.773,6.767002002291381
9824,2,AFv1,Cc1cc2nnc(SCc3cccc4ccccc34)n2c2ccccc12,26,1.0,-8.8,6.257999999999999,6.075525371909141
9825,1,AFv1,Fc1ccccc1Cn1c(Cc2cccc3ccccc23)nc2ccccc21,28,0.929,-9.1,6.501,6.053987724542618
9826,3,AFv1,FC(F)(F)c1nc(Nc2cccc(Cl)c2)sc1-c1ccccc1,23,0.9570000000000001,-8.7,5.691,5.7193275097608565
9827,2,AFv1,Cc1nc(SCc2ccccc2)[nH]c(=O)c1Cc1cccc2ccccc12,27,0.963,-10.1,6.3329999999999975,6.235159348130224
9828,1,AFv1,O=C(Oc1cccc(-c2cnc3ccccc3n2)c1)c1cccc(Cl)c1,26,0.885,-9.5,6.475,6.5410098195075985
9829,5,AFv1,Clc1ccc(-c2nc(Nc3cccc(Cl)c3)c3ccccc3n2)cc1,25,0.8,-6.0,6.051,6.081888509005308
9831,1,AFv1,Cc1ccc2nc(-c3ccccc3)cc(C(=O)Nc3cccc(Cl)c3)c2c1,27,1.0,-9.7,6.273,6.044034479141235
9832,3,AFv1,C[C@@H](c1ccccc1)n1c(Cc2cccc3ccccc23)nc2ccccc21,28,0.893,-8.0,6.476,6.404847037255764
9833,3,3soa,COc1cccc(-n2nc(C(C)C)nc2Cc2cccc3ccccc23)c1,27,0.889,-7.0,6.331,6.164774775266648
9834,4,AFv1,CCCNc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(Cl)cc1,26,0.9229999999999999,-9.0,5.763,5.669328037381172
9835,3,AFv1,Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,22,0.955,-7.0,5.665,5.520184495449066
9836,5,AFv1,CC(C)(C)c1ccc(OC(=O)c2c3c(nc4ccccc24)CCCC3)cc1,27,0.963,-8.4,6.5420000000000025,6.463578258275988
9837,3,AFv1,CC(C)c1cc(Nc2cccc(Cl)c2)n2ncc(-c3ccccc3)c2n1,26,0.885,-7.9,6.132999999999999,6.192122174978255
9838,2,AFv1,Cc1ccc(C(C)C)c(OCCNC(=O)Cc2cccc3ccccc23)c1,27,0.852,-8.7,6.015,6.04578381717205
9839,1,AFv1,CCCCn1cc(C(=O)Cc2cccc3ccccc23)c2cccc(OC)c21,28,1.0,-10.1,6.226,5.967503059864044
9840,3,AFv1,O=c1c2cc(-c3ccccc3)sc2ncn1Cc1cccc2ccccc12,27,0.889,-9.7,6.513,6.343348819494247
9841,5,AFv1,CC(C)(C)c1ccc(/C=C2\CCCc3c2nc2ccccc2c3C(=O)O)cc1,28,0.75,-7.5,6.14,5.983018621206283
9843,1,AFv1,Cc1cccc(NC(=O)c2cc(-c3cccc(Cl)c3)nc3ccccc23)n1,27,0.9259999999999999,-9.2,6.614,6.457511015176773
9844,5,AFv1,CC(C)(C)c1ccc(C(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1,27,0.889,-7.5,6.159,5.8780603017807005
9845,3,AFv1,Cc1nn(Cc2cccc3ccccc23)c(C)c1NC(=O)c1ccc(F)cc1,28,0.857,-9.2,6.452999999999999,6.430897237986326
9846,5,AFv1,Cc1cc(Nc2cccc(Cl)c2)n2ncc(-c3ccc(F)cc3)c2n1,25,0.84,-8.6,6.06,6.459220526218414
9847,3,AFv1,Cc1ccccc1NC(=O)c1sc(Nc2cccc(Cl)c2)nc1C,24,0.875,-7.9,5.907,5.837895909667015
9848,5,AFv1,Cc1ccc(-n2ncc3c(Nc4cccc(Cl)c4)ncnc32)cc1Cl,25,0.92,-8.4,6.024,6.413183312654495
9849,1,AFv1,O=C(Cc1cccc2ccccc12)Nc1cc(Cl)c(Cl)cc1Cl,23,0.9570000000000001,-8.0,5.662000000000001,5.087104260444642
9850,4,AFv1,COc1ccc(Cc2nnc(SCc3cccc4ccccc34)o2)cc1,26,0.885,-9.3,6.202000000000001,5.508286036968232
9851,2,AFv1,CC1=NN(c2nc3ccccc3s2)C(=O)[C@H]1Cc1cccc2ccccc12,27,0.852,-8.3,6.4910000000000005,6.378096203863621
9852,2,3soa,C[C@@H](c1nc2ccccc2s1)N(C)C(=O)Cc1cccc2ccccc12,26,0.9229999999999999,-9.5,5.995,5.551370586156845
9853,3,AFv1,CCc1ccc(-c2nc3ccccc3c(C(=O)N3CCCCCC3)c2C)cc1,28,0.893,-6.9,6.6670000000000025,6.337486837625506
9854,5,3soa,O=C(Nc1ccc(Cl)c(Cl)c1)c1c2c(nc3ccccc13)CCCC2,25,0.96,-7.7,5.853,5.940152302265167
9855,5,AFv1,Cc1[nH]c2ccccc2c1C(c1ccncc1)c1c(C)[nH]c2ccccc12,27,0.9259999999999999,-8.2,6.515,6.702138825654983
9856,3,AFv1,O=C1Nc2ccccc2/C1=C/c1ccc(-c2ccc(Cl)c(Cl)c2)o1,24,0.917,-7.8,5.797999999999999,5.8938069637417785
9857,1,AFv1,CC(C)c1ccc(/C=C2\CCCc3c2nc2ccccc2c3C(=O)O)cc1,27,0.9259999999999999,-10.3,5.996,5.738631554603577
9858,3,AFv1,Cc1ccc(-c2cc(C(=O)Nc3cccc(Cl)c3)c3ccccc3n2)o1,26,0.9620000000000001,-8.8,6.1610000000000005,6.053785325646401
9859,3,AFv1,CC(C)c1nnc(-c2cc3ccccc3n2Cc2cccc3ccccc23)o1,28,0.929,-10.5,6.615,6.142181386947632
9860,3,AFv1,Cc1c(-c2cccc(Cl)c2)nc2ccccc2c1C(=O)NC1CCCC1,26,0.8079999999999999,-7.9,5.994,5.929996390879154
9861,4,AFv1,Clc1cccc(Nc2ncc(-c3ccc4c(c3)OCCCO4)s2)c1,24,0.875,-8.2,5.875,6.2819085121154785
