zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id
19014866,Nc1c2c(nc3ccccc13)CCCC2,0.364,9,Permeable,282
409518,CCC(=O)Nc1cccc(Cl)c1,0.301,13,Permeable,283
12370373,NCc1ccc(-c2ccsc2)cc1,0.318,19,Permeable,284
29865990,C[C@@H](CN)Cc1cccc2ccccc12,0.364,20,Permeable,285
1846710,Nc1cccc(-c2cccc(N)c2)c1,0.333,1,Permeable,286
199317046,Nc1cc(Cl)c(O)c2ccccc12,0.318,22,Permeable,287
4277414,OCc1cccc(-c2ccsc2)c1,0.3720000000000001,19,Permeable,288
2574103,COc1cccc(-c2cccc(N)c2)c1,0.32,1,Permeable,289
40448521,Cc1n[nH]c2ccc(Cl)cc12,0.337,11,Permeable,290
12370372,OCc1ccc(-c2ccsc2)cc1,0.349,19,Permeable,291
158916,Cc1nc(-c2cccc(N)c2)cs1,0.32299999999999995,1,Permeable,292
40828641,Oc1ccc(-c2ccccc2)c(O)c1,0.302,15,Permeable,293
1648196,CN(C)c1cccc2ccccc12,0.302,20,Permeable,294
34349386,OCCCc1cccc2ccccc12,0.34600000000000003,20,Permeable,295
4245590,Nc1cccc(-c2ccsc2)c1,0.341,19,Permeable,296
2574104,COc1ccc(-c2cccc(N)c2)cc1,0.3,1,Permeable,297
331216,Clc1cc(-c2ccccc2)ncn1,0.309,15,Permeable,298
362025,CCC(=O)Nc1ccc(C)c(C)c1,0.325,13,Permeable,299
8227312,CCNCc1cccc2ccccc12,0.358,20,Permeable,300
225738319,Cc1c2c(nc3ccccc13)CCC2=O,0.304,9,Permeable,301
1560404612,C[C](N)c1cccc2ccccc12,0.302,20,Permeable,302
25491157,Cc1ccnc(Nc2ccccc2)n1,0.303,1,Permeable,303
1257867,Nc1cccc(-c2ccc(C=O)cc2)c1,0.3,1,Permeable,304
5162801,Nc1cccc2[nH]c3ccccc3c12,0.316,23,Permeable,305
39642859,Cc1cc(-c2cccc(N)c2)ccn1,0.333,1,Permeable,306
32187904,C[C@H](O)Cc1cccc2ccccc12,0.365,20,Permeable,307
32187902,C[C@@H](O)Cc1cccc2ccccc12,0.365,20,Permeable,308
5162822,Nc1cccc2c1[nH]c1ccccc12,0.304,23,Permeable,309
8580818,O=c1[nH]c2ccccc2c2ccccc12,0.35100000000000003,23,Permeable,310
8628578,O=c1c2ccccc2[nH]c2ccccc12,0.413,23,Permeable,311
31460423,Nc1nc2ccccc2c2ccccc12,0.319,22,Permeable,312
57476744,O=[N+]([O-])c1ccc(-c2ccccc2)o1,0.33,12,Permeable,313
