zinc_id,new_smile,tanimoto_sim,cluster
401218,O=c1oc2ccccc2c2ccccc12,0.305,22
1257444,N#Cc1cccc(-c2cccc(N)c2)c1,0.32,1
2528936,N#Cc1ccc(-c2cccc(N)c2)cc1,0.3,1
1700216,N#CCc1cccc2ccccc12,0.359,20
43502305,O=CCCc1cccc2ccccc12,0.34600000000000003,20
6883985,CC(C)NCc1cccc2ccccc12,0.364,20
4015346,c1ccc2c3c(cnc2c1)CCCC3,0.317,9
39259632,COc1cccc2[nH]c3ccccc3c12,0.308,23
2574110,Nc1cccc(-c2ccc(F)cc2)c1,0.309,1
97002735,c1ccc(-c2c[nH]c3ccncc23)cc1,0.314,15
202410283,Fc1cccc2[nH]c3ccccc3c12,0.316,23
118245418,O=Cc1cccc2[nH]c3ccccc3c12,0.319,23
85477169,COc1cncc(-c2ccc(C)cc2)c1,0.32,11
1438470,Cc1ccccc1-c1cccc(N)c1,0.306,1
1635600,CCOCc1cccc2ccccc12,0.358,20
45028400,Clc1ccc(-c2ccsc2)cn1,0.345,19
1675301,CC(C)(O)c1cccc2ccccc12,0.33299999999999996,20
3897058,Oc1cccc2oc3ccccc3c12,0.304,22
1431204,Cc1cccc(-c2cccc(N)c2)c1,0.33299999999999996,1
65340206,Cc1ccc(-c2ccsc2)cc1O,0.365,19
2391423,Oc1cccc2[nH]c3ccccc3c12,0.316,23
2504665,Cc1c(CO)cccc1-c1ccccc1,0.303,15
2525696,O=Cc1ccc(-c2ccsc2)cc1,0.303,19
34411892,CC[C@@H](N)c1cccc2ccccc12,0.303,20
2574109,Nc1cccc(-c2cccc(F)c2)c1,0.33299999999999996,1
100009863,c1ccc2c(c1)[nH]c1ccccc12,0.396,23
3137139,CCC(=O)Cc1cccc2ccccc12,0.35200000000000004,20
45028399,Cc1cc(-c2ccsc2)ccn1,0.341,19
11885308,CC(C)(N)c1cccc2ccccc12,0.34600000000000003,20
13942724,c1ccc2c(CNC3CC3)cccc2c1,0.33299999999999996,20
967487,c1ccc(-c2ccsc2)cc1,0.306,19
34064621,Oc1cccc2c1[nH]c1ccccc12,0.319,22
6863403,Oc1ccc(-c2ccsc2)cc1,0.32899999999999996,19
1666852,Cc1cccc2ccccc12,0.307,20
6796109,CC(=O)c1c(-c2ccccc2)c[nH]c1C,0.309,15
2525695,O=Cc1cccc(-c2ccsc2)c1,0.326,19
34411891,CC[C@H](N)c1cccc2ccccc12,0.303,20
