lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL1968791,CHEMBL4121,"CaM kinase II beta",Q13554,5.5,Ki,809235,8,Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CC(CN2CCCC2)C1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2002682,CHEMBL4121,"CaM kinase II beta",Q13554,5.7,Ki,809235,8,Cc1cccc(Cl)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)NCCOCCOCCN)[nH]c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1973211,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCCC5)cnc(N)c34)cc2)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1972125,CHEMBL4121,"CaM kinase II beta",Q13554,5.6,Ki,809235,8,Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1ccccc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1976134,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,c1cc2cc(-c3ccc4cn[nH]c4c3)cnc2[nH]1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1965131,CHEMBL4121,"CaM kinase II beta",Q13554,6,Ki,809235,8,Cc1ccc(C(=O)Nc2c(C(N)=O)sc3ccc(Cl)c(Cl)c23)cc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1972158,CHEMBL4121,"CaM kinase II beta",Q13554,5.7,Ki,809235,8,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccccc3)cc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL482767,CHEMBL4121,"CaM kinase II beta",Q13554,5.9,Ki,809235,8,O=C(Nc1cccc(Cl)c1)Nc1ncc(CCN=c2[nH]cnc3ccsc23)s1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1978645,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,Cc1ccc(Nc2c(C(=O)O)n(CCCOc3cccc4ccccc34)c3cccc(-c4ccccc4C)c23)cc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1993424,CHEMBL4121,"CaM kinase II beta",Q13554,5.8,Ki,809235,8,NS(=O)(=O)c1cccc(Nc2ncc3ccn(Cc4ccccc4)c3n2)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1971943,CHEMBL4121,"CaM kinase II beta",Q13554,5.5,Ki,809235,8,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1988537,CHEMBL4121,"CaM kinase II beta",Q13554,6.7,Ki,809235,8,COc1ccc(C(=O)N2c3ccccc3Sc3c(Cl)cncc32)cc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2003405,CHEMBL4121,"CaM kinase II beta",Q13554,5.9,Ki,809235,8,CCCC(=O)c1ccc(NCc2c[nH]nc2-c2ccc(C(F)(F)F)cc2)cc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1336,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1998611,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1973098,CHEMBL4121,"CaM kinase II beta",Q13554,5.6,Ki,809235,8,COc1cc(C=C2SC(=S)NC2=O)ccc1O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
